メニュー名,"価格(税別,円)",主材料,主な調味料,調理方法,テイスティングコメント,ペアリングドリンク,原価(円),原価率(%),アレルゲン,備考,カテゴリー,在庫,カテゴリー_EN,メニュー名_EN,テイスティングコメント_EN,ペアリングドリンク_EN,主材料_EN,主な調味料_EN,調理方法_EN,アレルゲン_EN
カプレーゼ,1200,"フルーツトマト(120g), モッツァレラ(80g), バジル(3g)","EXVオリーブオイル(8ml), 塩(1g), 黒胡椒(0.3g)",トマトとモッツァレラをスライスして交互に盛り、バジルをのせてオイル・塩胡椒。,瑞々しい酸味とミルキーさ。前菜として軽やかに始められる。,ナチュラル白ワイン（オレンジ寄り）,320,33,乳,,チーズ料理,あり,Cheese,Caprese (Tomato & Mozzarella),"A light, fresh pairing of tomato and mozzarella with a subtle Japanese herb touch.","Fresh, aromatic sake / crisp white wine","フルーツトマト(120g), モッツァレラ(80g), バジル(3g)","EXVオリーブオイル(8ml), 塩(1g), 黒胡椒(0.3g)",トマトとモッツァレラをスライスして交互に盛り、バジルをのせてオイル・塩胡椒。,Milk
カマンベールときのこアヒージョの花鰹掛け,1400,"カマンベール(1/2個), きのこミックス(120g), にんにく(3g)","オリーブオイル(80ml), 塩(1g), 唐辛子(少々), 花鰹(適量)",小鍋でにんにく香り出し→きのこ→カマンベール。仕上げに花鰹。,とろけるチーズときのこの旨味、花鰹の香りが重なる。,山廃/生酛系の旨口純米,460,36,乳,,チーズ料理,あり,Cheese,"Camembert & Mushroom Ajillo, Katsuobushi Finish","Rich camembert and mushrooms in ajillo, finished with aromatic katsuobushi.",Aged Junmai / orange wine,"カマンベール(1/2個), きのこミックス(120g), にんにく(3g)","オリーブオイル(80ml), 塩(1g), 唐辛子(少々), 花鰹(適量)",小鍋でにんにく香り出し→きのこ→カマンベール。仕上げに花鰹。,Milk
チーズ（単品）,680,日替わりチーズ(40g),"はちみつ(3g), 黒胡椒(少々)",カットして提供。はちみつ・胡椒はお好みで。,ミルクのコクをシンプルに楽しむ一皿。,スパークリング/辛口白,260,38,乳,,チーズ料理,あり,Cheese,Cheese (Single),A rotating selection of cheeses to match your sake or wine.,Natural wine / umami-forward sake,日替わりチーズ(40g),"はちみつ(3g), 黒胡椒(少々)",カットして提供。はちみつ・胡椒はお好みで。,Milk
チーズ（盛り合わせ）,1680,日替わりチーズ3種(各30g),"ドライフルーツ(適量), ナッツ(適量), はちみつ(適量)",盛り合わせて提供。,タイプ違いのチーズを食べ比べ。お酒の相手に万能。,ナチュラルワイン/熟成純米,720,43,"乳, くるみ",,チーズ料理,あり,Cheese,Cheese Platter,A platter of assorted cheeses for pairing.,Natural wine / umami-forward sake,日替わりチーズ3種(各30g),"ドライフルーツ(適量), ナッツ(適量), はちみつ(適量)",盛り合わせて提供。,"Milk, Walnut"
和風ドフィノア（ポテトチーズオーブン焼）,1180,"じゃがいも(250g), チーズ(80g), 生クリーム(80ml)","味噌(8g), 醤油(3ml), にんにく(2g), 黒胡椒(少々)",薄切りじゃがいもにソースを絡め耐熱皿へ→チーズ→オーブンで焼成。,濃厚なのに後味は和。味噌のコクがポイント。,旨口の純米/樽熟成ワイン,420,36,"乳, 大豆, 小麦",,チーズ料理,あり,Cheese,Japanese-style Dauphinoise (Baked Potato & Cheese),Creamy baked potato & cheese with a gentle Japanese dashi nuance.,Warm sake (kanzake) / oak-aged wine,"じゃがいも(250g), チーズ(80g), 生クリーム(80ml)","味噌(8g), 醤油(3ml), にんにく(2g), 黒胡椒(少々)",薄切りじゃがいもにソースを絡め耐熱皿へ→チーズ→オーブンで焼成。,"Milk, Soy, Wheat"
季節のフルーツの白和え,900,"季節のフルーツ(120g), 木綿豆腐(80g)","白味噌(8g), すりごま(6g), 砂糖(3g), 塩(少々)",豆腐を水切りして調味→フルーツと和える。,果実の甘酸っぱさに白味噌のまろやかさ。食中の箸休めに。,甘酸バランスの生酒/ロゼ,240,27,"大豆, ごま",,フルーツ料理,あり,Fruit,Seasonal Fruit Shira-ae (Tofu Dressing),Seasonal fruit in a silky tofu dressing (shira-ae).,"Light, fragrant sake / off-dry white wine","季節のフルーツ(120g), 木綿豆腐(80g)","白味噌(8g), すりごま(6g), 砂糖(3g), 塩(少々)",豆腐を水切りして調味→フルーツと和える。,"Soy, Sesame"
生ハムとフルーツ（季節のフルーツ）,980,"生ハム(40g), 季節のフルーツ(120g)","黒胡椒(少々), オリーブオイル(5ml), レモン(少々)",フルーツをカットして生ハムを添え、オイル・胡椒で仕上げ。,塩気×甘みでお酒が進む定番。,泡/やや辛口の白,380,39,豚肉,,フルーツ料理,あり,Fruit,Prosciutto & Seasonal Fruit,Salty prosciutto meets seasonal fruit sweetness.,Sparkling / high-acid white wine,"生ハム(40g), 季節のフルーツ(120g)","黒胡椒(少々), オリーブオイル(5ml), レモン(少々)",フルーツをカットして生ハムを添え、オイル・胡椒で仕上げ。,Pork
バーニャカウダと蒸し野菜（塩・バーニャソース・味噌ソース）,1480,季節野菜(300g),"塩(適量), バーニャカウダソース(80ml), 味噌ソース(40ml)",野菜を蒸して盛り、3種の味で提供。,野菜の甘みを発酵の旨味で引き立てる。,辛口白/軽快な純米,520,35,"乳, 大豆, いわし",,味噌発酵料理,あり,Miso & Fermentation,Steamed Vegetables & Bagna Càuda (Salt / Bagna / Miso),"Enjoy steamed vegetables with three options: salt, bagna càuda, and miso sauce.",Full-bodied Junmai / white wine,季節野菜(300g),"塩(適量), バーニャカウダソース(80ml), 味噌ソース(40ml)",野菜を蒸して盛り、3種の味で提供。,"Milk, Soy, Sardine"
藁焼き（蝦夷鹿・自家製味噌）,1680,蝦夷鹿(120g),"自家製味噌(15g), 醤油(3ml), みりん(3ml), しょうが(2g)",表面を藁で香り付けしてレアに火入れ。味噌ダレで提供。,藁の香ばしさと赤身の旨味。味噌で余韻を伸ばす。,熟成純米/軽めの赤,720,43,"大豆, 小麦",,味噌発酵料理,あり,Miso & Fermentation,Straw-seared Ezo Venison with House Miso,"Straw-seared Ezo venison with smoky aroma, brought together with house-made miso.","Dry, structured Junmai / red wine",蝦夷鹿(120g),"自家製味噌(15g), 醤油(3ml), みりん(3ml), しょうが(2g)",表面を藁で香り付けしてレアに火入れ。味噌ダレで提供。,"Soy, Wheat"
枝豆,600,枝豆(200g),塩(6g),塩茹でして提供。,最初の一杯にちょうど良い。,淡麗辛口の純米,120,25,,,居酒屋料理,あり,Izakaya Classics,Edamame,Classic starter. Simply salted to go with sake.,"Clean, crisp sake",枝豆(200g),塩(6g),塩茹でして提供。,
胡麻豆腐パフェ（きんかん・漬け鯛・いくら）,980,"胡麻豆腐(120g), 鯛(30g), いくら(15g), きんかん(20g)","白だし(10ml), 醤油(3ml), みりん(3ml)",グラスに層状に盛り付け、だしジュレでまとめる。,濃厚ごまのコクに海の旨味が重なる“おつまみパフェ”。,吟醸香控えめの純米吟醸,360,37,"ごま, 卵, いくら, 大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Sesame Tofu “Parfait” (Kumquat / Marinated Sea Bream / Salmon Roe),"A savory “parfait” of layers: sesame tofu, kumquat, marinated sea bream, and salmon roe.",Elegant Junmai Daiginjo / fragrant styles,"胡麻豆腐(120g), 鯛(30g), いくら(15g), きんかん(20g)","白だし(10ml), 醤油(3ml), みりん(3ml)",グラスに層状に盛り付け、だしジュレでまとめる。,"Sesame, Egg, Salmon roe, Soy, Wheat"
黒糖そら豆,700,そら豆(120g),"黒糖(10g), 醤油(3ml), みりん(3ml), 塩(少々)",そら豆を火入れし、黒糖ダレで軽く絡める。,ほっくり甘じょっぱく、後を引く。,コクのある純米/ハイボール,200,36,"大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Brown Sugar Broad Beans,Broad beans glazed with brown sugar for a gentle sweetness and depth.,Aged sake / rosé,そら豆(120g),"黒糖(10g), 醤油(3ml), みりん(3ml), 塩(少々)",そら豆を火入れし、黒糖ダレで軽く絡める。,"Soy, Wheat"
昆布〆のオリーブ,750,"オリーブ(60g), 昆布(1枚)","オリーブオイル(5ml), 柚子皮(少々)",オリーブを昆布で挟み冷蔵で半日〜。,旨味がのったオリーブ。日本酒にも合う。,辛口純米/オレンジワイン,260,42,,,居酒屋料理,あり,Izakaya Classics,Kombu-cured Olives,Olives cured with kombu to add umami and a Japanese twist.,dryjunmai/orange wine,"オリーブ(60g), 昆布(1枚)","オリーブオイル(5ml), 柚子皮(少々)",オリーブを昆布で挟み冷蔵で半日〜。,
ふろふき大根（きのこ餡掛け）,780,"大根(250g), きのこミックス(80g)","だし(150ml), 醤油(8ml), みりん(8ml), 片栗粉(3g)",大根を柔らかく煮て、きのこ餡をかける。,だしの旨味でほっとする味。,ぬる燗の純米,190,24,"大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Simmered Daikon with Mushroom Sauce,Slow-simmered daikon topped with an umami-rich mushroom sauce.,Warm sake (kanzake),"大根(250g), きのこミックス(80g)","だし(150ml), 醤油(8ml), みりん(8ml), 片栗粉(3g)",大根を柔らかく煮て、きのこ餡をかける。,"Soy, Wheat"
里芋の唐揚げ,900,里芋(220g),"醤油(8ml), みりん(5ml), にんにく(2g), 片栗粉(適量)",下味→粉→揚げ。,外カリ中ねっとり。,生酒/白ワイン,260,33,"大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Fried Taro,"Crispy outside, sticky and tender inside.",Umami-forward Junmai,里芋(220g),"醤油(8ml), みりん(5ml), にんにく(2g), 片栗粉(適量)",下味→粉→揚げ。,"Soy, Wheat"
竜田揚げ,1100,鶏もも(150g),"醤油(10ml), しょうが(3g), みりん(5ml), 片栗粉(適量)",漬け込み→粉→揚げ。,香ばしくジューシー。,キレのある純米/IPA,360,41,"鶏肉, 大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Tatsuta-age (Japanese Fried),Japanese-style fried bite with a savory aroma.,Sparkling sake / beer,鶏もも(150g),"醤油(10ml), しょうが(3g), みりん(5ml), 片栗粉(適量)",漬け込み→粉→揚げ。,"Chicken, Soy, Wheat"
豚の角煮,1600,"豚バラ(160g), 長ネギ(適量)","醤油(15ml), みりん(15ml), 砂糖(6g), 生姜(5g)",下茹で→調味で柔らかく煮込む。,とろける脂と甘辛だれ。,熟成純米/赤ワイン,420,43,"豚肉, 大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Braised Pork Belly,"Slow-braised pork belly, meltingly tender with sweet-salty glaze.",Kimoto/Yamahai / aged sake,"豚バラ(160g), 長ネギ(適量)","醤油(15ml), みりん(15ml), 砂糖(6g), 生姜(5g)",下茹で→調味で柔らかく煮込む。,"Pork, Soy, Wheat"
サラダ（ソースに和ジェノベーゼ）,880,"葉物野菜(120g), 季節野菜(80g)","和ジェノベーゼ(25g), 塩(少々), オイル(5ml)",野菜を盛り、和ジェノベーゼソースで和える。,香り高くさっぱり。,辛口白/微発泡の日本酒,280,32,"くるみ, 大豆",,居酒屋料理,あり,Izakaya Classics,Salad with Japanese-style Genovese (Herb Pesto),Fresh salad finished with Japanese-style genovese (herb pesto) sauce.,High-acid white / light Junmai,"葉物野菜(120g), 季節野菜(80g)","和ジェノベーゼ(25g), 塩(少々), オイル(5ml)",野菜を盛り、和ジェノベーゼソースで和える。,"Walnut, Soy"
卵とじ,900,"卵(2個), 玉ねぎ(40g), だし(80ml)","醤油(6ml), みりん(6ml), 砂糖(2g)",だしで具を煮て卵でとじる。,やさしい甘旨。,燗酒/軽めの赤,220,28,"卵, 大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Egg-toji (Soft Egg Binding),"Softly bound with egg for a gentle, comforting finish.","Soft, mellow umami styles","卵(2個), 玉ねぎ(40g), だし(80ml)","醤油(6ml), みりん(6ml), 砂糖(2g)",だしで具を煮て卵でとじる。,"Egg, Soy, Wheat"
おこげ,800,"おこげ(80g), 餡（きのこ/海鮮）(100g)","だし(100ml), 醤油(8ml), みりん(8ml), 片栗粉(3g)",熱々のおこげに餡をかけて提供。,香ばしさととろみのコントラスト。,旨口純米/紹興酒,300,34,"小麦, 大豆",,居酒屋料理,あり,Izakaya Classics,Crispy Rice (Okoge),Crispy rice with dashi-style umami.,Dry Junmai,"おこげ(80g), 餡（きのこ/海鮮）(100g)","だし(100ml), 醤油(8ml), みりん(8ml), 片栗粉(3g)",熱々のおこげに餡をかけて提供。,"Wheat, Soy"
今日のお刺身（3種盛り）,1680,鮮魚3種(各40g),"醤油(適量), わさび(適量)",その日の鮮魚を盛り合わせ。,鮮度と切り方で旨味を引き出す。,淡麗辛口/吟醸,820,49,"魚介類, 大豆, 小麦",,魚料理,あり,Seafood,Today's Sashimi Platter (3 kinds),Seasonal selection of today's best fish (3 kinds).,Fresh Junmai / white wine,鮮魚3種(各40g),"醤油(適量), わさび(適量)",その日の鮮魚を盛り合わせ。,"Seafood, Soy, Wheat"
今日のお刺身（5種盛り）,2480,鮮魚5種(各35g),"醤油(適量), わさび(適量)",その日の鮮魚を盛り合わせ。,多彩な味の違いを楽しむ。,淡麗辛口/吟醸,1250,50,"魚介類, 大豆, 小麦",,魚料理,あり,Seafood,Today's Sashimi Platter (5 kinds),Seasonal selection of today's best fish (5 kinds).,Fresh Junmai / white wine,鮮魚5種(各35g),"醤油(適量), わさび(適量)",その日の鮮魚を盛り合わせ。,"Seafood, Soy, Wheat"
ネギトロエビス最中,1200,"ネギトロ(70g), 最中皮(2枚), 薬味(適量)","醤油(3ml), ごま油(2ml)",最中皮にネギトロを詰め、薬味で仕上げ。,手でつまめる“和のフィンガーフード”。,微発泡/辛口白,360,37,"魚介類, 大豆, 小麦, ごま",,魚料理,あり,Seafood,Negitoro Monaka (Tuna & Scallion in Crisp Wafer),Negitoro (tuna & scallion) served in a crisp monaka wafer.,Junmai with modest aroma,"ネギトロ(70g), 最中皮(2枚), 薬味(適量)","醤油(3ml), ごま油(2ml)",最中皮にネギトロを詰め、薬味で仕上げ。,"Seafood, Soy, Wheat, Sesame"
〆サバ（炙り）,980,〆サバ(100g),"ポン酢(5ml), 柚子皮(少々)",表面を軽く炙って香りを立てる。,脂と酸味のバランスが最高。,酸のある純米/辛口白,380,39,"さば, 大豆, 小麦",,魚料理,あり,Seafood,Lightly Seared Shime Saba (Vinegared Mackerel),Vinegared mackerel lightly seared for aroma and richness.,Kimoto / warm sake,〆サバ(100g),"ポン酢(5ml), 柚子皮(少々)",表面を軽く炙って香りを立てる。,"Mackerel, Soy, Wheat"
ウニプリン,1600,"ウニ(40g), 卵(1個), 生クリーム(30ml)","塩(少々), 醤油(2ml)",低温でなめらかに蒸し、ウニをのせる。,とろける食感と濃厚な海の甘み。,生酛系の旨口/シェリー,620,48,"卵, 乳, 大豆, 小麦",,魚料理,あり,Seafood,Uni “Custard”,Silky uni “custard” with deep ocean umami.,Umami-forward Junmai / sherry-style pairing,"ウニ(40g), 卵(1個), 生クリーム(30ml)","塩(少々), 醤油(2ml)",低温でなめらかに蒸し、ウニをのせる。,"Egg, Milk, Soy, Wheat"
海老の天ぷら（車えび）,1380,車えび(3尾),"天ぷら粉(30g), 卵(1/2個), だし(適量)",衣を薄くつけて高温で揚げる。,香ばしく甘い。塩でも天つゆでも。,淡麗辛口/スパークリング,620,45,"えび, 卵, 小麦",,魚料理,あり,Seafood,Kuruma Prawn Tempura,Lightly fried kuruma prawns with sweet aroma.,Sparkling sake / dry styles,車えび(3尾),"天ぷら粉(30g), 卵(1/2個), だし(適量)",衣を薄くつけて高温で揚げる。,"Shrimp, Egg, Wheat"
干物焼き（鮭とば）,780,鮭とば(60g),"七味(少々), マヨ（任意）(適量)",軽く炙って提供。,噛むほど旨味、止まらない。,燗酒/ウイスキー,260,33,"さけ, 卵",,魚料理,あり,Seafood,Grilled Dried Salmon Toba,"Grilled dried salmon toba — chewy, savory, and perfect with a drink.",Warm sake / aged sake,鮭とば(60g),"七味(少々), マヨ（任意）(適量)",軽く炙って提供。,"Salmon, Egg"
和牛の日本酒しゃぶしゃぶ,3600,"和牛(120g), 旬野菜(200g), 豆腐(80g), 〆用うどん(1玉)","日本酒だし(400ml), 昆布(1枚), 塩(2g), 醤油(10ml)",日本酒×昆布の出汁を温め、和牛と具材をさっとくぐらせる。,日本酒出汁の香りで和牛の甘みが立つ。TSCT看板メニュー。,同系統の純米（出汁に合わせて選定）,1320,44,"牛肉, 小麦, 大豆",,看板メニュー,あり,Signature,Wagyu Sake Shabu-shabu,Our signature wagyu shabu-shabu in aromatic sake-based broth.,Junmai in the same profile (selected to match the broth),"和牛(120g), 旬野菜(200g), 豆腐(80g), 〆用うどん(1玉)","日本酒だし(400ml), 昆布(1枚), 塩(2g), 醤油(10ml)",日本酒×昆布の出汁を温め、和牛と具材をさっとくぐらせる。,"Beef, Wheat, Soy"
本日のにぎり（3点）,1480,にぎり3貫(各1貫),"醤油(適量), わさび(適量)",当日のおすすめで提供。,締めに軽く食べられる。,淡麗辛口/辛口白,720,49,"魚介類, 大豆, 小麦",,食事,あり,Rice & Sushi,Today's Nigiri (3 pcs),A small nigiri set of today's picks (3 pieces).,Delicate Junmai Daiginjo / white wine,にぎり3貫(各1貫),"醤油(適量), わさび(適量)",当日のRecommendedで提供。,"Seafood, Soy, Wheat"
本日のにぎり（5点）,2180,にぎり5貫(各1貫),"醤油(適量), わさび(適量)",当日のおすすめで提供。,満足感のある締め。,淡麗辛口/辛口白,1050,48,"魚介類, 大豆, 小麦",,食事,あり,Rice & Sushi,Today's Nigiri (5 pcs),A small nigiri set of today's picks (5 pieces).,Delicate Junmai Daiginjo / white wine,にぎり5貫(各1貫),"醤油(適量), わさび(適量)",当日のRecommendedで提供。,"Seafood, Soy, Wheat"
巻物（紅：サーモン）,980,"酢飯(160g), 海苔(1枚), サーモン(60g)","醤油(適量), わさび(適量)",巻いてカットして提供。,脂の甘みが広がる。,生酒/辛口白,420,43,"さけ, 大豆, 小麦",,食事,あり,Rice & Sushi,Maki Roll “Red” (Salmon),Maki roll with salmon — choose by color.,"Clean, crisp Junmai","酢飯(160g), 海苔(1枚), サーモン(60g)","醤油(適量), わさび(適量)",巻いてカットして提供。,"Salmon, Soy, Wheat"
巻物（藍：〆さば）,980,"酢飯(160g), 海苔(1枚), 〆さば(60g)","醤油(適量), ガリ(適量)",巻いてカットして提供。,酸味と香ばしさで締まる。,酸のある純米/辛口白,420,43,"さば, 大豆, 小麦",,食事,あり,Rice & Sushi,Maki Roll “Indigo” (Shime Saba),Maki roll with shime saba — choose by color.,"Clean, crisp Junmai","酢飯(160g), 海苔(1枚), 〆さば(60g)","醤油(適量), ガリ(適量)",巻いてカットして提供。,"Mackerel, Soy, Wheat"
ほうじ茶ティラミス,900,"マスカルポーネ(80g), ほうじ茶(適量), スポンジ(40g)","砂糖(10g), ココア(少々)",層にして冷やし固める。,香ばしいほうじ茶の余韻。,貴醸酒/甘口ワイン,260,33,"乳, 卵, 小麦",,デザート,あり,Dessert,Hojicha Tiramisu,Adult-style tiramisu with roasted hojicha aroma.,Kijoshu / sweet wine,"マスカルポーネ(80g), ほうじ茶(適量), スポンジ(40g)","砂糖(10g), ココア(少々)",層にして冷やし固める。,"Milk, Egg, Wheat"
アイス（ゆず）,580,ゆずシャーベット(1玉),ミント(任意),盛り付けて提供。,さっぱりリセット。,スパークリング/微発泡酒,140,24,,,デザート,あり,Dessert,Yuzu Ice Cream,Refreshing yuzu ice cream to reset the palate.,Sparkling,ゆずシャーベット(1玉),ミント(任意),盛り付けて提供。,
おやき,800,おやき(1個)（野沢菜/あん など日替わり）,醤油(少々)（任意）,焼き直して提供。,小腹にうれしい〆の一品。,燗酒/ほうじ茶,220,32,"小麦, 大豆",,デザート,あり,Dessert,Oyaki (Japanese Stuffed Dumpling),"Warm, rustic stuffed dumpling-style dessert.",Warm sake / dessert wine,おやき(1個)（野沢菜/あん など日替わり）,醤油(少々)（任意）,焼き直して提供。,"Wheat, Soy"
